a,b,c,d,e,f
1,0.2,120,44.81980133,-15.07115703,-8318.518328
1,0.2,120,44.81980133,-15.07115703,-8318.518328
1,0.2,400,131.281311,-34.38885012,-6238.973493
1,1,120,45.72377396,-17.74071127,-9606.757508
1,1,400,130.1732483,-31.69716959,-6091.165006
1.1,0.67,210,79.99,-26.5,-9502.427
1.1,0.91,299,112.14,-32.02,-8702.773
1.2,0.44,389,153.46,-38.95,-6849.963
1.3,0.79,165,77.1,-28.67569458,-10899.02821
1.4,0.32,254,125.0274658,-39.54194397,-9058.158397
1.4,0.48,290,138.9504242,-39.24859611,-8873.94627
1.5,0.6,260,135.4441376,-42.13371466,-9208.683413
1.5,0.73,232,121.6553574,-43.86847289,-11300.6257
1.5,0.56,344,177.8428803,-47.20241255,-7830.458491
1.6,0.5,142,86.51000977,-43.23550407,-14957.22828
1.6,0.26,322,179.0396118,-59.99528238,-10684.31848
1.7,0.97,178,109.9091187,-46.36492093,-11501.37843
1.8,0.38,187,127.4390259,-50.8144924,-12896.26432
1.8,0.61,277,173.8946991,-60.05154812,-11007.65533
1.9,0.85,366,237.4827118,-79.1,-8974.611894
2,0.47,176,132.2450104,-62.24657314,-16185.08125
2.1,0.23,355,261.1929321,-94.00818408,-10187.39894
2.1,0.94,266,355.7796631,-122.7298509,-17405.0512
2.2,0.7,122,110.2004776,-52.327025,-11812.19793
2.3,0.35,221,187.7729645,-78.14327596,-14451.00169
2.3,0.82,131,121.9672775,-68.06589278,-17750.94306
2.4,0.54,310,263.5483704,-102.2532853,-11764.29494
2.4,0.74,346,287.6637268,-100.6527716,-11303.50618
2.5,0.29,288,262.907196,-99.01071934,-12943.65652
2.6,0.53,378,342.0402832,-118.0948427,-11743.2765
2.6,0.76,198,190.8144074,-99.81067188,-15667.51094
2.7,0.21,234,235.4415283,-100.4651701,-14793.36896
2.8,0.64,243,248.2183228,-114.9102971,-15074.78857
2.8,0.88,333,329.6323547,-126.9742337,-11005.06137
2.9,0.41,154,177.1053619,-104.5316275,-20813.08509
3,0.2,120,148.1840057,-41.89129121,-9350.368125
3,0.2,400,432.0696716,-177.8632864,-12539.78311
3,1,120,154.1375427,-84.46396404,-17249.22044
3,1,400,423.9728088,-162.3639121,-10904.58484
